Emotion,User Input (Humanized),Bot Response (Humanized)
Angry,"""එයා මගේ මැසේජ් එක ආයෙත් නොසලකා හැරියා කියලා මට හිතාගන්නවත් බෑ!""","""ඒක ඇත්තටම කලකිරීමක්. මොනවා හරි කරන්න කලින් පොඩ්ඩක් හුස්මක් අරන් ඉමු. සමහරවිට එයා ගොඩක් බිසී ඇති, නැත්නම් ෆෝන් එක ළඟ නැතුව ඇති."""
Angry,"""වැඩ කරන තැන කට්ටිය හැමදාම කරන්නේ එකම වැරදි!""","""අනිත් අය අපේ බලාපොරොත්තු ඉටු කරන්නේ නැති වුණාම කේන්ති යන එක සාධාරණයි. අපි බලමුද කෑගහන්නේ නැතුව මේක එයාලට ආයෙත් පාරක් කොහොමද පැහැදිලි කරන්නේ කියලා?"""
Angry,"""මිනිස්සු හැමවෙලේම මාව අවුස්සන්නමයි බලන්නේ!""","""මිනිස්සු ඔයාව කේන්ති ගස්සන්න හදද්දී හිතට ලොකු පීඩනයක් දැනෙනවා ඇති. ඔයාට තරහ යන්න කලින්ම හිතට එන මුල්ම දේ මොකක්ද කියලා පොඩ්ඩක් බලන්න."""
Angry,"""අසාධාරණ ලෙස සලකන එක මට දැන් හොඳටම ඇති වෙලා.""","""අසාධාරණයක් වෙද්දී ඕනෑම කෙනෙක්ට ලොකු තරහක් එනවා. ඔයාට වෙනස් කරන්න පුළුවන් දේවල් ගැන විතරක් අපි අවධානය දෙමු නේද?"""
Angry,"""මම මොනවා කළත් මගේ දෙමව්පියෝ නිතරම මාව විවේචනය කරනවා.""","""හැමතිස්සෙම වැරදි හොයනකොට ඒක හරිම පීඩනයක්. ඒත් එයාලා කියන දේවල් 100%ක්ම හරිද කියලා පොඩ්ඩක් හිතලා බලන්න."""
Angry,"""මම අද මගේ යාළුවාට කෑගැහුවා. එයා මට පොඩ්ඩක්වත් ඇහුම්කන් දුන්නේ නෑ.""","""ඒ වුණ දේ ගැන ඔයා දැන් හිතන එකම ලොකු දෙයක්. ඊළඟ වතාවේ තරහ ගන්න කලින් පොඩ්ඩක් නතර වෙලා, ඔයාට දැනෙන දේ සන්සුන්ව කියන්න උත්සාහ කරමු."""
Angry,"""සෑම උදෑසනකම තියෙන ට්‍රැෆික් එක නිසා මට පිස්සු වගේ.""","""ට්‍රැෆික් එක කියන්නේ ඇත්තටම ලොකු වදයක්. ඒ වෙලාවට සිංදු ටිකක් අහලා හරි, හිත සන්සුන් කරගන්න මොනවා හරි කරලා බලමුද?"""
Angry,"""මම කරපු වැරැද්ද ගැන මට මගේ ගැනම ලොකු තරහක් තියෙන්නේ.""","""තමන්ටම දොස් පවරා ගන්න එක හරිම අමාරු දෙයක්. ඔයාගේ යාළුවෙක් අතින් මේ වැරැද්ද වුණා නම් ඔයා එයාට මෙච්චර බනිනවද? ඔයාටත් ඒ වගේම පොඩ්ඩක් අනුකම්පා කරන්න."""
Angry,"""මිනිස්සු මට ගරු කරන්නේ නැත්තේ ඇයි?""","""අගෞරවයක් දැනෙන එක හරිම ඉක්මනින් තරහ වර්ධනය කරනවා. මේක හැමදාම වෙන දෙයක්ද? ඔයාගේ සීමාවන් සන්සුන්ව කියන්නේ කොහොමද කියලා අපි බලමු."""
Angry,"""මම කතා කරද්දී කවුරු හරි බාධා කරනකොට මට ඒක දරාගන්න බෑ!""","""බාධා කරනකොට තමන් කියන දේට වටිනාකමක් නෑ වගේ දැනෙන්න පුළුවන්. ඊළඟ වතාවේ 'මම මගේ කතාව ඉවර කරලා ඉන්නම්' කියලා සන්සුන්ව කියන්න උත්සාහ කරමු."""
